source_id,destination_id,units_shipped,total_cost
S6f5cad9,D4d5a593,19505,9490.72
S6f5cad9,Dd42da4c,18733,8379.9
S6f5cad9,D4d5a593,15526,2586.3
S6f5cad9,D4d5a593,19840,1320.93
S6f5cad9,Df4d06c4,14002,6297.31
S6f5cad9,D53095e0,19363,561.53
S6f5cad9,Df4d06c4,17477,-354.02
S6f5cad9,Dd42da4c,13827,1069.29
S6f5cad9,Dac7fd09,12409,1737.26
S6f5cad9,D4d5a593,19999,7331.21
S6f5cad9,Df4d06c4,12106,-245.22
S6f5cad9,Df4d06c4,18908,1885.95
S6f5cad9,D53095e0,18740,168.66
S6f5cad9,D53095e0,12729,623.72
S6f5cad9,D759aba7,15160,1622.53
S6f5cad9,D53095e0,12679,367.69
S6f5cad9,Df4d06c4,18357,1096.71
S6f5cad9,Dac7fd09,18149,1814.9
S6f5cad9,D4d5a593,14570,2572.76
S6f5cad9,D4d5a593,13891,785.94
S6f5cad9,D4d5a593,14284,4236.33
S6f5cad9,D759aba7,13998,658.28
S6f5cad9,Df4d06c4,10242,2967.55
S6f5cad9,Dac7fd09,14056,1827.28
S6f5cad9,D759aba7,18014,2108.12
S6f5cad9,Dac7fd09,17042,4601.34
S6f5cad9,D759aba7,15342,261.23
S6f5cad9,Dd42da4c,16019,-42.72
S6f5cad9,D53095e0,15493,4012.69
S6f5cad9,Dd42da4c,17465,3097.13
S6f5cad9,Dac7fd09,19183,767.32
S6f5cad9,Dac7fd09,18427,-184.27
S6f5cad9,Df4d06c4,17555,522.15
S6f5cad9,D53095e0,16299,1613.6
S6f5cad9,Df4d06c4,13224,1980.21
S6f5cad9,Dd42da4c,15746,745.31
S6f5cad9,D759aba7,15944,749.8
S6f5cad9,D53095e0,19120,1701.68
S6f5cad9,Df4d06c4,11402,1023.26
S6f5cad9,Df4d06c4,12172,1822.68
S6f5cad9,D759aba7,12281,1682.83
S6f5cad9,D4d5a593,12602,1469.13
S6f5cad9,Dd42da4c,17246,-218.45
S6f5cad9,Dac7fd09,10612,1273.44
S6f5cad9,D759aba7,11084,1186.29
S6f5cad9,D759aba7,10918,513.44
S6f5cad9,D4d5a593,17229,3731.44
S6f5cad9,Dd42da4c,17182,-389.46
S6f5cad9,Df4d06c4,17086,3071.1
S6f5cad9,D53095e0,15436,1373.8
S6f5cad9,D759aba7,14136,1230.21
S6f5cad9,Df4d06c4,15553,773.66
S6f5cad9,D4d5a593,15540,413.04
S6f5cad9,Dac7fd09,16320,326.4
S6f5cad9,Dd42da4c,17850,1915.9
S6f5cad9,D4d5a593,11335,2568.27
S6f5cad9,D53095e0,17831,873.72
S6f5cad9,Df4d06c4,14117,843.4
S6f5cad9,Dac7fd09,19262,770.48
S6f5cad9,D4d5a593,11018,1945.55
S6f5cad9,D53095e0,17140,-17.14
S6f5cad9,D53095e0,11815,1405.98
S6f5cad9,D759aba7,13162,1540.31
S6f5cad9,D4d5a593,11380,530.07
S6f5cad9,Dac7fd09,17122,171.22
S6f5cad9,D4d5a593,14523,10552.11
S6f5cad9,D53095e0,19587,176.28
S6f5cad9,Dd42da4c,11893,1038.66
S6f5cad9,D759aba7,15479,4133.31
S6f5cad9,Df4d06c4,18699,2613.07
S6f5cad9,Df4d06c4,13476,-138.22
S6f5cad9,D53095e0,19742,1164.78
S6f5cad9,Df4d06c4,18283,-370.35
S6f5cad9,D53095e0,12021,228.4
S6f5cad9,D4d5a593,15899,1694.5
S6f5cad9,D53095e0,12985,506.41
S6f5cad9,Dac7fd09,13632,3135.36
S6f5cad9,Dd42da4c,13805,-450.96
S6f5cad9,D53095e0,11265,1002.58
S6f5cad9,Dac7fd09,18758,6190.14
S6f5cad9,D759aba7,19054,2991.99
S6f5cad9,Dac7fd09,18577,2415.01
S6f5cad9,D759aba7,14010,798.95
