source_id,destination_id,units_shipped,total_cost
S98afbde,D53095e0,19829,2654.53
S98afbde,Df4d06c4,11061,147.48
S98afbde,Dac7fd09,13057,425.29
S98afbde,Dd42da4c,18430,7335.14
S98afbde,Dd42da4c,14343,1118.75
S98afbde,D53095e0,14608,1517.35
S98afbde,D759aba7,14935,788.24
S98afbde,Dac7fd09,12946,1198.43
S98afbde,Dd42da4c,15960,1085.28
S98afbde,Dd42da4c,12750,484.5
S98afbde,Dac7fd09,14132,3286.7
S98afbde,D759aba7,19116,1582.38
S98afbde,D4d5a593,14584,2233.18
S98afbde,D759aba7,10923,904.18
S98afbde,D759aba7,13608,2351.16
S98afbde,D759aba7,11064,915.85
S98afbde,Dd42da4c,10096,80.77
S98afbde,D759aba7,19486,1028.43
S98afbde,Dd42da4c,14378,7591.58
S98afbde,D4d5a593,19462,1033.92
S98afbde,Df4d06c4,14370,335.3
S98afbde,Dac7fd09,13060,555.98
S98afbde,D4d5a593,13029,561.88
S98afbde,Dac7fd09,11573,839.87
S98afbde,Df4d06c4,14430,336.7
S98afbde,Df4d06c4,14476,337.77
S98afbde,D759aba7,12431,656.08
S98afbde,Dd42da4c,11566,1133.47
S98afbde,Dd42da4c,10365,186.57
S98afbde,D53095e0,10960,1248.03
S98afbde,Df4d06c4,16485,549.5
S98afbde,D4d5a593,19676,3012.89
S98afbde,Dac7fd09,18044,587.72
S98afbde,Dac7fd09,12767,2075.55
S98afbde,Df4d06c4,17444,3546.95
S98afbde,Dd42da4c,16559,132.47
S98afbde,Df4d06c4,11192,149.23
S98afbde,D759aba7,19228,3129.89
S98afbde,D53095e0,19382,1044.13
S98afbde,D4d5a593,15967,2125.61
S98afbde,D4d5a593,10746,893.26
S98afbde,Df4d06c4,19352,3741.39
S98afbde,D4d5a593,13248,1498.68
S98afbde,Df4d06c4,18448,2644.21
S98afbde,D53095e0,11070,485.65
S98afbde,D4d5a593,13720,454.47
S98afbde,D53095e0,19588,663.46
S98afbde,D4d5a593,15918,1323.18
S98afbde,D4d5a593,11268,711.29
S98afbde,D759aba7,18222,232.84
S98afbde,Dac7fd09,14577,1786.72
S98afbde,Dd42da4c,11064,88.51
S98afbde,D759aba7,17068,3290.33
S98afbde,D759aba7,13360,571.51
S98afbde,D53095e0,17121,579.9
S98afbde,D4d5a593,10413,2011.01
S98afbde,Dd42da4c,11392,888.58
S98afbde,Df4d06c4,17357,578.57
S98afbde,D759aba7,17522,4429.17
S98afbde,Dac7fd09,14696,331.71
S98afbde,Dd42da4c,13415,-26.83
S98afbde,Dac7fd09,17069,214.58
S98afbde,Dd42da4c,11856,1399.01
S98afbde,Dd42da4c,10126,3928.89
S98afbde,D759aba7,17763,404.6
S98afbde,D759aba7,13906,733.93
S98afbde,Dd42da4c,14527,552.03
S98afbde,D4d5a593,16202,1022.75
S98afbde,D759aba7,13425,3259.29
S98afbde,Dac7fd09,16551,870.11
S98afbde,Dac7fd09,12007,1231.58
S98afbde,D4d5a593,15671,1302.65
S98afbde,Dac7fd09,17537,746.58
S98afbde,D759aba7,11746,1677.07
S98afbde,Df4d06c4,15540,207.2
S98afbde,D53095e0,14151,5007.63
S98afbde,D53095e0,12438,545.67
S98afbde,D53095e0,13519,2215.37
S98afbde,Dd42da4c,13052,1279.1
S98afbde,Dd42da4c,12798,358.34
S98afbde,D4d5a593,14765,489.09
S98afbde,D53095e0,15192,818.41
S98afbde,D759aba7,16199,7010.57
S98afbde,Df4d06c4,14797,1676.99
S98afbde,Df4d06c4,12458,166.11
S98afbde,D759aba7,18136,775.82
S98afbde,Df4d06c4,13286,575.73
S98afbde,D4d5a593,19635,1043.11
S98afbde,Df4d06c4,18411,613.7
S98afbde,D4d5a593,10017,1033.0
S98afbde,D759aba7,16039,686.11
S98afbde,Dd42da4c,16529,462.81
S98afbde,D4d5a593,18134,2051.41
S98afbde,Dd42da4c,11014,-22.03
S98afbde,D53095e0,15931,1017.53
S98afbde,Df4d06c4,18824,2321.63
S98afbde,D53095e0,16495,723.65
S98afbde,D759aba7,14687,334.54
S98afbde,D4d5a593,13178,1095.42
S98afbde,Dac7fd09,19488,2973.31
S98afbde,D53095e0,10206,447.75
S98afbde,D53095e0,18111,432.33
S98afbde,D53095e0,15213,971.67
S98afbde,Dd42da4c,13644,109.15
S98afbde,D53095e0,14612,641.04
S98afbde,D759aba7,11263,256.55
S98afbde,Dd42da4c,13275,1433.7
S98afbde,D759aba7,10546,767.51
