source_id,destination_id,units_shipped,total_cost
Sa345e1e,Dac7fd09,10048,6981.74
Sa345e1e,Dd42da4c,15212,1551.62
Sa345e1e,Df4d06c4,10244,85.37
Sa345e1e,D759aba7,17679,592.77
Sa345e1e,D759aba7,12188,1749.34
Sa345e1e,Dac7fd09,11442,1199.56
Sa345e1e,D53095e0,14941,190.5
Sa345e1e,Dac7fd09,14634,1680.55
Sa345e1e,D759aba7,19339,1228.6
Sa345e1e,Dac7fd09,19967,4888.69
Sa345e1e,Dac7fd09,18095,1716.11
Sa345e1e,D53095e0,11395,259.24
Sa345e1e,D53095e0,16376,1027.59
Sa345e1e,D4d5a593,18565,1168.5
Sa345e1e,D53095e0,17989,49.47
Sa345e1e,D759aba7,13377,716.06
Sa345e1e,D4d5a593,10457,1390.17
Sa345e1e,Dac7fd09,19863,96.11
Sa345e1e,D4d5a593,10005,1830.33
Sa345e1e,Dd42da4c,13126,1207.59
Sa345e1e,Df4d06c4,15100,276.83
Sa345e1e,D759aba7,18517,435.69
Sa345e1e,Dac7fd09,18142,87.78
Sa345e1e,Df4d06c4,11067,645.57
Sa345e1e,Dac7fd09,18559,832.16
Sa345e1e,Dd42da4c,14190,454.08
Sa345e1e,D53095e0,18861,2315.19
Sa345e1e,D53095e0,10448,1700.41
Sa345e1e,Df4d06c4,14015,1378.14
Sa345e1e,Dd42da4c,13790,1544.48
Sa345e1e,D759aba7,18037,1145.88
Sa345e1e,D53095e0,10126,534.15
Sa345e1e,Df4d06c4,17596,1378.35
Sa345e1e,Dac7fd09,17785,3465.21
Sa345e1e,D4d5a593,19888,655.13
Sa345e1e,Df4d06c4,19855,364.01
Sa345e1e,Df4d06c4,16074,-26.79
Sa345e1e,D759aba7,19560,5545.84
Sa345e1e,D4d5a593,17487,925.78
Sa345e1e,D4d5a593,11677,1085.27
Sa345e1e,D759aba7,14303,479.57
Sa345e1e,D53095e0,19781,1636.88
Sa345e1e,D53095e0,12835,1318.8
Sa345e1e,D53095e0,11449,3237.2
Sa345e1e,Dd42da4c,15292,1712.7
Sa345e1e,D4d5a593,12774,5785.87
Sa345e1e,D4d5a593,11855,1931.67
Sa345e1e,Df4d06c4,10032,83.6
Sa345e1e,Dac7fd09,11006,1153.85
Sa345e1e,D759aba7,12976,305.32
Sa345e1e,D759aba7,12751,1192.59
Sa345e1e,D4d5a593,15843,2264.62
Sa345e1e,D4d5a593,14721,5931.7
Sa345e1e,D53095e0,11187,5288.65
Sa345e1e,Dac7fd09,18733,1027.29
Sa345e1e,Df4d06c4,19044,2253.54
Sa345e1e,D759aba7,16049,3266.44
Sa345e1e,Dd42da4c,10314,2599.13
Sa345e1e,Dd42da4c,13905,5450.76
Sa345e1e,D53095e0,17657,1637.69
Sa345e1e,Dd42da4c,13645,982.44
Sa345e1e,Dac7fd09,15866,4836.57
Sa345e1e,Df4d06c4,18503,339.22
Sa345e1e,D53095e0,16444,1854.06
Sa345e1e,Df4d06c4,18727,343.33
Sa345e1e,Df4d06c4,15137,1034.36
Sa345e1e,D759aba7,11892,3252.81
Sa345e1e,Df4d06c4,16393,2923.42
Sa345e1e,D4d5a593,12928,813.7
Sa345e1e,D4d5a593,15102,3215.84
Sa345e1e,D4d5a593,12145,278.62
Sa345e1e,D53095e0,17471,48.05
Sa345e1e,Df4d06c4,17337,1358.06
Sa345e1e,Df4d06c4,16147,296.03
Sa345e1e,Dd42da4c,15241,8717.85
Sa345e1e,Dd42da4c,19580,822.36
Sa345e1e,Dac7fd09,15560,386.49
Sa345e1e,Df4d06c4,15656,2165.75
Sa345e1e,D53095e0,12329,4225.76
Sa345e1e,Df4d06c4,14314,834.98
Sa345e1e,Df4d06c4,15384,1666.6
Sa345e1e,D4d5a593,12249,1015.95
Sa345e1e,D4d5a593,17428,1096.94
Sa345e1e,D53095e0,13871,-100.56
Sa345e1e,Dd42da4c,18997,797.87
Sa345e1e,D759aba7,12237,1144.52
Sa345e1e,Dd42da4c,16510,1849.12
Sa345e1e,Df4d06c4,19051,730.29
Sa345e1e,Dd42da4c,10158,1137.7
Sa345e1e,Dd42da4c,16766,1542.47
Sa345e1e,D53095e0,17405,5269.36
Sa345e1e,D4d5a593,15435,2978.05
Sa345e1e,Dd42da4c,16626,2194.63
Sa345e1e,D53095e0,18807,6822.24
Sa345e1e,Dd42da4c,17515,3187.73
Sa345e1e,Df4d06c4,17238,4453.15
Sa345e1e,Df4d06c4,10902,526.93
Sa345e1e,D4d5a593,16799,3241.22
Sa345e1e,D759aba7,19908,6838.98
Sa345e1e,D4d5a593,15375,1428.97
Sa345e1e,Dac7fd09,18939,1606.76
Sa345e1e,Dd42da4c,13026,9535.03
Sa345e1e,D4d5a593,14134,5836.51
Sa345e1e,D759aba7,15440,517.69
Sa345e1e,D53095e0,10379,132.33
Sa345e1e,D759aba7,19022,5583.52
Sa345e1e,D759aba7,18450,249.62
Sa345e1e,D4d5a593,17556,753.88
Sa345e1e,D53095e0,19055,624.05
Sa345e1e,D759aba7,18135,1696.16
Sa345e1e,D53095e0,11439,603.41
Sa345e1e,Dd42da4c,18495,13168.44
Sa345e1e,D759aba7,19113,640.85
Sa345e1e,Dac7fd09,12614,3719.1
Sa345e1e,D4d5a593,19686,9507.18
Sa345e1e,D759aba7,17762,4325.57
Sa345e1e,D759aba7,11621,273.44
Sa345e1e,Dac7fd09,12144,2851.88
Sa345e1e,D53095e0,19607,2406.76
Sa345e1e,Dd42da4c,11777,1083.48
Sa345e1e,D759aba7,16593,390.42
Sa345e1e,Dd42da4c,13746,2501.77
Sa345e1e,D4d5a593,11117,2144.93
Sa345e1e,Dd42da4c,11565,485.73
Sa345e1e,D759aba7,17598,6749.35
Sa345e1e,D53095e0,16652,4708.35
Sa345e1e,D4d5a593,15473,973.89
Sa345e1e,Df4d06c4,18746,2593.2
Sa345e1e,Dac7fd09,17525,2187.8
Sa345e1e,D4d5a593,18675,801.93
Sa345e1e,D53095e0,16675,3214.11
Sa345e1e,Dac7fd09,13334,64.52
Sa345e1e,Dd42da4c,19399,1396.73
Sa345e1e,D53095e0,14371,614.36
Sa345e1e,D53095e0,14753,1368.34
Sa345e1e,D4d5a593,11891,510.61
Sa345e1e,Dd42da4c,17852,9854.3
Sa345e1e,Df4d06c4,13354,645.44
Sa345e1e,D4d5a593,11336,486.78
Sa345e1e,Dd42da4c,10028,922.58
Sa345e1e,Df4d06c4,15857,1083.56
Sa345e1e,D759aba7,19469,1626.23
Sa345e1e,Dd42da4c,17865,1643.58
Sa345e1e,D53095e0,16456,5475.73
Sa345e1e,D759aba7,13556,4114.64
Sa345e1e,Df4d06c4,19502,2307.74
Sa345e1e,Dd42da4c,12840,1566.48
Sa345e1e,D53095e0,12041,1839.26
Sa345e1e,D53095e0,10173,536.63
Sa345e1e,D4d5a593,10317,3641.29
Sa345e1e,Dd42da4c,17850,2177.7
Sa345e1e,D759aba7,11439,726.71
Sa345e1e,D759aba7,19894,468.09
Sa345e1e,D53095e0,12184,33.51
Sa345e1e,Df4d06c4,13639,250.05
Sa345e1e,D4d5a593,18257,601.41
Sa345e1e,D53095e0,10588,240.88
Sa345e1e,D53095e0,18246,-132.28
Sa345e1e,Dac7fd09,15363,1457.01
Sa345e1e,D53095e0,14900,4063.97
Sa345e1e,D4d5a593,19373,4512.77
Sa345e1e,D4d5a593,18958,1761.98
Sa345e1e,Dd42da4c,19295,9300.19
Sa345e1e,Df4d06c4,19061,349.45
Sa345e1e,D759aba7,16116,3602.4
Sa345e1e,D759aba7,17475,760.68
Sa345e1e,D53095e0,10864,573.08
Sa345e1e,Df4d06c4,19841,1157.39
Sa345e1e,Dd42da4c,15768,1608.34
Sa345e1e,Dd42da4c,10343,1054.99
Sa345e1e,Dac7fd09,12255,794.6
Sa345e1e,Df4d06c4,12652,611.51
Sa345e1e,D53095e0,17453,2665.95
Sa345e1e,Df4d06c4,12135,343.82
Sa345e1e,Df4d06c4,19976,-33.29
Sa345e1e,Dac7fd09,18657,6247.09
Sa345e1e,Df4d06c4,12891,236.33
Sa345e1e,D53095e0,12934,1975.67
Sa345e1e,Dac7fd09,19167,859.42
Sa345e1e,Dac7fd09,17300,429.71
Sa345e1e,Dac7fd09,13616,8235.48
Sa345e1e,D759aba7,13919,466.7
Sa345e1e,D4d5a593,15031,7710.02
Sa345e1e,Dac7fd09,19411,4558.45
Sa345e1e,Dac7fd09,18737,2339.1
Sa345e1e,Dd42da4c,15328,2023.3
Sa345e1e,D759aba7,13109,439.54
Sa345e1e,D759aba7,17320,1446.73
Sa345e1e,Dd42da4c,16575,3845.4
Sa345e1e,D4d5a593,12059,1120.78
Sa345e1e,D759aba7,16273,871.08
Sa345e1e,Dd42da4c,19744,631.81
Sa345e1e,Df4d06c4,14222,118.52
Sa345e1e,D53095e0,18200,1506.05
Sa345e1e,Df4d06c4,16430,7366.12
Sa345e1e,Dac7fd09,10241,868.83
Sa345e1e,D4d5a593,13007,1469.03
Sa345e1e,D4d5a593,17119,735.11
Sa345e1e,D53095e0,17833,2367.33
Sa345e1e,Dac7fd09,10125,-52.26
Sa345e1e,D53095e0,15091,343.32
Sa345e1e,Dd42da4c,19758,2805.64
Sa345e1e,Dac7fd09,15137,1586.94
Sa345e1e,D759aba7,17657,4653.14
Sa345e1e,Df4d06c4,18868,5628.95
Sa345e1e,Dd42da4c,10668,1728.22
Sa345e1e,Dac7fd09,16266,241.37
Sa345e1e,Df4d06c4,13563,1740.58
Sa345e1e,Dac7fd09,15183,2806.41
Sa345e1e,D53095e0,16559,5841.19
